"Time","Bacteria","data1","data2","data3","Mean","se","se_min","se_max"
0,"Total",31000,28000,25000,28000,1732.05080756888,26267.9491924311,29732.0508075689
0,"EryR",10000,24000,18000,17333.3333333333,4055.17502019881,13278.1583131345,21388.5083535321
0,"P",52500,57500,55000,55000,1443.37567297406,53556.6243270259,56443.3756729741
0,"TetR",6000,16000,17000,13000,3511.88458428425,9488.11541571575,16511.8845842842
0,"DRP",0,0,0,0,0,0,0
1,"Total",52000,58000,72000,60666.6666666667,5925.46294487706,54741.2037217896,66592.1296115437
1,"EryR",14000,24000,28000,22000,4163.33199893227,17836.6680010677,26163.3319989323
1,"P",45000,50000,70000,55000,7637.62615825973,47362.3738417403,62637.6261582597
1,"TetR",20000,32000,36000,29333.3333333333,4807.40170061865,24525.9316327147,34140.735033952
1,"DRP",0,0,0,0,0,0,0
2,"Total",280000,520000,380000,393333.333333333,69602.043392737,323731.289940596,462935.37672607
2,"EryR",160000,220000,240000,206666.666666667,24037.0085030933,182629.658163573,230703.67516976
2,"P",65000,95000,90000,83333.3333333333,9279.60727138337,74053.72606195,92612.9406047167
2,"TetR",180000,240000,220000,213333.333333333,17638.3420737639,195694.991259569,230971.675407097
2,"DRP",0,0,0,0,0,0,0
3,"Total",2200000,1e+06,3e+06,2066666.66666667,581186.525805423,1485480.14086124,2647853.19247209
3,"EryR",860000,8e+05,820000,826666.666666667,17638.3420737639,809028.324592903,844305.008740431
3,"P",120000,85000,75000,93333.3333333333,13642.2546197874,79691.0787135459,106975.587953121
3,"TetR",1e+06,9e+05,1120000,1006666.66666667,63595.9467611297,943070.719905537,1070262.6134278
3,"DRP",0,0,0,0,0,0,0
4,"Total",9e+06,15200000,10200000,11466666.6666667,1898537.44878642,9568129.21788025,13365204.1154531
4,"EryR",5e+06,4e+06,3800000,4266666.66666667,371184.290855335,3895482.37581133,4637850.957522
4,"P",170000,185000,255000,203333.333333333,26193.7227425029,177139.610590831,229527.056075836
4,"TetR",4200000,6600000,7400000,6066666.66666667,961480.340123731,5105186.32654294,7028147.0067904
4,"DRP",0,0,0,0,0,0,0
5,"Total",7.4e+07,7.2e+07,8.2e+07,7.6e+07,3055050.46330389,72944949.5366961,79055050.4633039
5,"EryR",3.6e+07,3.2e+07,4.6e+07,3.8e+07,4163331.99893227,33836668.0010677,42163331.9989323
5,"P",1150000,9e+05,450000,833333.333333333,204803.428790742,628529.904542592,1038136.76212408
5,"TetR",1.8e+07,4.8e+07,6.8e+07,44666666.6666667,14529663.1451356,30137003.5215311,59196329.8118022
5,"DRP",0,0,0,0,0,0,0
6,"Total",3.6e+08,6.2e+08,3e+08,426666666.666667,98206132.4177082,328460534.248958,524872799.084375
6,"EryR",1.8e+08,2e+08,2.8e+08,2.2e+08,30550504.6330389,189449495.366961,250550504.633039
6,"P",3e+06,2200000,2450000,2550000,236290.78131263,2313709.21868737,2786290.78131263
6,"TetR",1.2e+08,3.2e+08,1.8e+08,206666666.666667,59254629.4487706,147412037.217896,265921296.115437
6,"DRP",0,0,0,0,0,0,0
7,"Total",8.6e+08,1.58e+09,1.04e+09,1.16e+09,216333076.527839,943666923.472161,1376333076.52784
7,"EryR",5.8e+08,699999996,4.6e+08,579999998.666667,69282031.1480546,510717967.518612,649282029.814721
7,"P",9500000,9500000,7500000,8833333.33333333,666666.666666667,8166666.66666667,9500000
7,"TetR",5.6e+08,839999996,7.6e+08,719999998.666667,83266639.0178764,636733359.64879,803266637.684543
7,"DRP",0,4,0,1.33333333333333,1.33333333333333,0,2.66666666666667
8,"Total",1.6e+09,1.4e+09,2.2e+09,1733333333.33333,240370085.030933,1492963248.3024,1973703418.36427
8,"EryR",559999998,3.4e+08,519999994,473333330.666667,67659275.9839083,405674054.682758,540992606.650575
8,"P",3500000,5500000,16500000,8500000,4041451.88432738,4458548.11567262,12541451.8843274
8,"TetR",679999998,7.2e+08,919999994,773333330.666667,74236856.6144877,699096474.052179,847570187.281154
8,"DRP",2,0,6,2.66666666666667,1.76383420737639,0.902832459290273,4.43050087404306
16,"Total",1.76e+09,1.8e+09,2.4e+09,1986666666.66667,206988995.950134,1779677670.71653,2193655662.6168
16,"EryR",939999986,419999994,1399999996,919999992,283078317.078507,636921674.921493,1203078309.07851
16,"P",10500000,7500000,9e+06,9e+06,866025.403784439,8133974.59621556,9866025.40378444
16,"TetR",599999986,1279999994,999999996,959999992,197315316.992878,762684675.007122,1157315308.99288
16,"DRP",14,6,4,8,3.05505046330389,4.94494953669611,11.0550504633039
17,"Total",2.16e+09,1.8e+09,3.4e+09,2453333333.33333,484607515.876967,1968725817.45637,2937940849.2103
17,"EryR",1139999986,679999988,639999990,819999988,160416124.501248,659583863.498752,980416112.501248
17,"P",6500000,10500000,18500000,11833333.3333333,3527668.41475279,8305664.91858055,15361001.7480861
17,"TetR",1239999986,999999988,839999990,1026666654.66667,116237304.014006,910429350.652661,1142903958.68067
17,"DRP",14,12,10,12,1.15470053837925,10.8452994616207,13.1547005383793
18,"Total",1.44e+09,1e+09,2e+09,1.48e+09,289367125.522809,1190632874.47719,1769367125.52281
18,"EryR",859999994,779999992,419999992,686666659.333333,135318554.628206,551348104.705128,821985213.961539
18,"P",6e+06,5500000,5e+06,5500000,288675.134594813,5211324.86540519,5788675.13459481
18,"TetR",859999994,919999992,1199999992,993333326,104774890.545822,888558435.454178,1098108216.54582
18,"DRP",6,8,8,7.33333333333333,0.666666666666667,6.66666666666667,8
19,"Total",1.34e+09,1.4e+09,3e+09,1913333333.33333,543609336.850565,1369723996.48277,2456942670.1839
19,"EryR",699999984,659999988,679999996,679999989.333333,11547004.2290925,668452985.104241,691546993.562426
19,"P",3e+06,32500000,9500000,1.5e+07,8948929.1724392,6051070.8275608,23948929.1724392
19,"TetR",759999984,759999988,1059999996,859999989.333333,100000003.333333,759999986,959999992.666667
19,"DRP",16,12,4,10.6666666666667,3.52766841475279,7.13899825191388,14.1943350814195
20,"Total",1.34e+09,1.8e+09,2e+09,1713333333.33333,195391345.196705,1517941988.13663,1908724678.53004
20,"EryR",859999992,659999992,679999996,733333326.666667,63595946.2020445,669737380.464622,796929272.868711
20,"P",7e+06,5500000,3.6e+07,16166666.6666667,9926115.94621873,6240550.72044794,26092782.6128854
20,"TetR",759999992,1099999992,879999996,913333326.666667,99554563.263904,813778763.402763,1012887889.93057
20,"DRP",8,8,4,6.66666666666667,1.33333333333333,5.33333333333333,8
21,"Total",1.56e+09,1.4e+09,1.4e+09,1453333333.33333,53333333.3333333,1.4e+09,1506666666.66667
21,"EryR",1239999984,679999992,3.6e+08,759999992,257164015.730558,502835976.269442,1017164007.73056
21,"P",15500000,2.1e+07,5e+07,28833333.3333333,10701765.1711191,18131568.1622142,39535098.5044524
21,"TetR",1039999984,1039999992,1.06e+09,1046666658.66667,6666670.66666707,1039999988,1053333329.33333
21,"DRP",16,8,0,8,4.61880215351701,3.38119784648299,12.618802153517
22,"Total",1.58e+09,1.2e+09,2.4e+09,1726666666.66667,354087245.997053,1372579420.66961,2080753912.66372
