"Time","Bacteria","data1","data2","data3","Mean","se","se_min","se_max"
0,"Total",44000,44000,49000,45666.6666666667,2829.01631902917,42837.6503476375,48495.6829856958
0,"EryR",7300,12900,13500,11233.3333333333,3351.160594978,7882.17273835533,14584.4939283113
0,"TetR",14300,21900,13700,16633.3333333333,4479.50413922494,12153.8291941084,21112.8374725583
0,"DRP",9700,11100,6500,9100,2310.80592002011,6789.19407997989,11410.8059200201
1,"Total",76000,66000,40000,60666.6666666667,18211.483556628,42455.1831100386,78878.1502232947
1,"EryR",31400,15600,25400,24133.3333333333,7816.28078649516,16317.0525468382,31949.6141198285
1,"TetR",25400,15600,21400,20800,4828.92451794393,15971.0754820561,25628.9245179439
1,"DRP",14600,16400,12600,14533.3333333333,1862.85945077275,12670.4738825606,16396.1927841061
2,"Total",540000,280000,360000,393333.333333333,130503.231122196,262830.102211137,523836.564455529
2,"EryR",227200,151200,154000,177466.666666667,42231.2160058568,135235.45066081,219697.882672523
2,"TetR",327200,137200,78000,180800,127591.634333917,53208.3656660829,308391.634333917
2,"DRP",12800,8800,6000,9200,3349.24946816447,5850.75053183553,12549.2494681645
3,"Total",2800000,1920000,3600000,2773333.33333333,823511.052344371,1949822.28098896,3596844.3856777
3,"EryR",2350000,1084000,960000,1464666.66666667,753839.374225924,710827.292440742,2218506.04089259
3,"TetR",1350000,924000,940000,1071333.33333333,236635.673839202,834697.659494131,1307969.00717254
3,"DRP",50000,16000,20000,28666.6666666667,18211.483556628,10455.1831100386,46878.1502232947
4,"Total",1.8e+07,2.8e+07,1.8e+07,21333333.3333333,5658032.63805833,15675300.695275,26991365.9713917
4,"EryR",13820000,9800000,6320000,9980000,3678173.82949746,6301826.17050254,13658173.8294975
4,"TetR",9220000,5600000,5120000,6646666.66666667,2196628.70174578,4450037.96492089,8843295.36841244
4,"DRP",780000,2e+05,880000,620000,359808.171113442,260191.828886558,979808.171113442
5,"Total",1.04e+08,9.2e+07,8.2e+07,92666666.6666667,10794838.2726808,81871828.3939859,103461504.939347
5,"EryR",55800000,34800000,47400000,4.6e+07,10358372.8451915,35641627.1548085,56358372.8451915
5,"TetR",27800000,26800000,31400000,28666666.6666667,2370978.98205221,26295687.6846145,31037645.6487189
