"time","Be","Bt","Bet","Pl","Pe","Pt"
0,50000,50000,0,5000,0,0
1,244424.910349778,221999.829207987,0,5002.72438490176,1.58273685212631e-08,1.56013052557009e-08
2,1194235.40803566,985186.423239207,0,5033.07537846971,1.88952679139015e-07,1.74338889734783e-07
3,5820462.77347512,4361868.72717069,1.08761923688675e-09,5175.29194410408,1.03728951566216e-06,8.80785336717012e-07
4,28042792.5865205,19104088.7126344,8.96356695000088e-09,5849.24660731306,5.22862686611332e-06,4.05046867365368e-06
5,128305588.193487,79707911.8337564,5.22782087614843e-07,9168.7910640895,2.66374816571806e-05,1.87497564027944e-05
6,481163314.741813,275890781.330191,1.04098414200974e-05,27185.9913841194,0.000145921901950743,9.31819556383942e-05
7,1113246742.31174,606658295.306792,0.000117026725301874,123533.303493146,0.000795004300871629,0.000465686390515438
8,1533933122.52596,819814730.400097,0.000662100125861886,420388.481448464,0.00282202617890549,0.00156703269809221
9,1666513414.18333,886200714.325412,0.00198523848103209,771652.697208614,0.00524156467958577,0.00284448741312898
10,1697485003.82988,901654878.619864,0.00386564734956534,942446.447989549,0.00642871558163748,0.00345649477972964
11,1704176022.61807,904983913.508747,0.00594241359887926,992146.690010522,0.00678164800782896,0.0036291782612651
12,1705599908.41874,905684803.899998,0.00806840776011653,1005596.48165401,0.00688197949367511,0.00367248396608091
13,1705905310.88022,905827684.582923,0.0102085759947033,1010703.41741021,0.00692226097557213,0.00368737185947757
14,1705974355.826,905852631.427108,0.0123560519100425,1014024.10383187,0.00694842430591548,0.00369706607838034
15,1705993491.26624,905852654.603896,0.0145096557560617,1016977.661333,0.0069708613615465,0.0037062750315492
16,1706002144.504,905847422.139162,0.0166692316910124,1019866.45530929,0.0069920812122577,0.00371579363974597
17,1706008581.38802,905841057.194533,0.0188348061160133,1022754.11886033,0.00701279721824746,0.00372565832330398
18,1706014559.58731,905834436.379095,0.0210064410388888,1025654.444623,0.0070332816048551,0.00373579392679018
19,1706020454.22877,905827746.663124,0.0231841802227593,1028570.46608881,0.00705366984549206,0.00374613053262498
20,1706026343.46289,905821026.875227,0.0253680509697155,1031502.92609028,0.00707404045754403,0.00375661899872018
21,1706032243.60599,905814284.998756,0.0275581036355669,1034452.09195504,0.00709444221575273,0.00376722714983051
22,1706038158.12446,905807522.6051,0.0297544135113974,1037418.13391143,0.00711490648759058,0.0037779342789262
23,1706044087.79271,905800739.921826,0.0319569322718,1040401.20267985,0.00713545354494332,0.00378872734874313
24,1706050032.83612,905793936.901528,0.0341657619985962,1043401.44616423,0.00715609670131061,0.00379959821190436
25,1706055993.36504,905787113.438019,0.0363809545410517,1046419.01316049,0.00717684486427888,0.00381054183991488
26,1706061969.46594,905780269.411714,0.0386024948579698,1049454.05401997,0.00719770412068123,0.00382155520940063
27,1706067961.22076,905773404.699358,0.0408304568412226,1052506.72079671,0.00721867875033523,0.00383263658748664
28,1706073968.711,905766519.176044,0.0430648546695482,1055577.16730397,0.00723977188107537,0.00384378506971157
29,1706079992.01856,905759612.715617,0.0453057418565148,1058665.5491464,0.0072609859079288,0.00385500028429096
30,1706086031.22593,905752685.190754,0.0475531511003802,1061772.02374789,0.00728232276147914,0.00386628220284273
