"time","Be","Bt","Bet","Pl","Pe","Pt","model"
0,15389,11389,0,1433,0,0,"dens_burst"
1,76908.5339635397,51708.0603099928,4.87216670595943e-15,1433.21142579176,1.81582898662742e-09,1.31925322112416e-09,"dens_burst"
2,384304.782072928,234731.734327704,6.58202106652732e-13,1435.21515043955,1.8984682167697e-08,1.28933810071405e-08,"dens_burst"
3,1919002.4897742,1064882.97640198,2.08642554413872e-11,1444.86607366676,1.04843597676282e-07,6.54755542669183e-08,"dens_burst"
4,9550441.2568836,4815780.64094813,5.14553283239288e-10,1491.56684166044,5.35208795501718e-07,3.04912216623117e-07,"dens_burst"
5,46777733.0760187,21454234.2837023,1.17846242229274e-08,1720.64669989697,2.71560386198942e-06,1.40687442524784e-06,"dens_burst"
6,213114138.17168,89287939.6943508,2.53056471917366e-07,2900.25789430696,1.42515676439349e-05,6.70307764054781e-06,"dens_burst"
7,744100389.905854,289343100.95246,4.48175091442923e-06,9661.84510026381,8.15479330876356e-05,3.48469841741787e-05,"dens_burst"
8,1497541964.01072,558518538.459021,4.864653986902e-05,45181.7367213191,0.000438784277452842,0.000173312175491945,"dens_burst"
9,1886730635.49015,694035921.78365,0.00025879287663694,138993.76279866,0.0013894172598565,0.00052594651926871,"dens_burst"
10,1992805789.44952,730666029.31612,0.000720147905996411,227817.554999181,0.002294236243333,0.000854265304516751,"dens_burst"
11,2016056750.62901,738677849.891307,0.00132961040474616,263237.496078949,0.00265799398670127,0.000983099738437531,"dens_burst"
12,2020895550.31352,740342959.089274,0.00198329768784802,272263.974137341,0.00275288343618533,0.00101458158694954,"dens_burst"
13,2021892483.07919,740684434.871576,0.0026465939560652,274370.295969168,0.00277647480449504,0.00102104428865261,"dens_burst"
14,2022098155.80126,740753326.453454,0.00331200429989772,274973.949043596,0.00278404259015341,0.00102240445173419,"dens_burst"
15,2022141650.20389,740766348.760544,0.00397814334060599,275265.909430666,0.00278793333836153,0.00102292114098439,"dens_burst"
16,2022151712.79305,740767852.933014,0.00464478547080404,275493.767303541,0.00279084066121637,0.00102340254583059,"dens_burst"
17,2022154890.52257,740766983.905832,0.005311907044248,275708.631728671,0.00279340248480629,0.0010239656898852,"dens_burst"
18,2022156644.62728,740765622.964233,0.00597951450940956,275921.130428317,0.00279580222738046,0.00102460403053591,"dens_burst"
19,2022158148.3159,740764174.251898,0.00664761631523694,276133.445519674,0.00279811257212166,0.0010252949246928,"dens_burst"
20,2022159586.68399,740762701.527946,0.0073162187215621,276345.950132912,0.00280036918920016,0.00102602036479797,"dens_burst"
21,2022161010.57976,740761222.306213,0.00798532586493665,276558.751818722,0.00280259244044532,0.00102676902956766,"dens_burst"
22,2022162432.70926,740759740.961302,0.00865494083435692,276771.876794576,0.00280479562346785,0.00102753309056135,"dens_burst"
23,2022163855.47538,740758258.318561,0.0093250659542472,276985.329592141,0.00280698735310677,0.00102830735309698,"dens_burst"
24,2022165279.21499,740756774.491878,0.00999570282189073,277199.111576198,0.00280917258201488,0.00102908881849725,"dens_burst"
25,2022166704.01795,740755289.509761,0.0106668529350412,277413.223677568,0.00281135510451046,0.00102987518828365,"dens_burst"
26,2022168129.88757,740753803.37092,0.0113385175119536,277627.666671346,0.00281353718257713,0.00103066509438958,"dens_burst"
27,2022169556.82372,740752316.073067,0.0120106975381793,277842.441288656,0.00281572012616815,0.00103145774732992,"dens_burst"
28,2022170984.82756,740750827.614207,0.0126833939867076,278057.548190053,0.00281790487002657,0.00103225258512161,"dens_burst"
29,2022172413.90067,740749337.992506,0.013356607759094,278272.988271,0.00282009199894278,0.00103304926093883,"dens_burst"
30,2022173844.0447,740747847.206084,0.0140303397484768,278488.762267976,0.00282228189008717,0.0010338475526584,"dens_burst"
