"time","Be","Bt","Bet","Pl","Pe","Pt","model"
0,15389,11389,0,1433,0,0,"dens_both"
1,76908.0872206242,51707.7590909592,5.83327737431721e-14,1433.13434076876,3.6950507309325e-09,2.72502776391806e-09,"dens_both"
2,384300.604870008,234729.123517377,1.15413027523375e-10,1450.64701317716,1.42586531111107e-07,9.8871294050408e-08,"dens_both"
3,1918969.48274703,1064864.46965863,4.29653882711576e-09,1535.13056186763,8.3836458322909e-07,5.36319663009269e-07,"dens_both"
4,9550207.46701059,4815662.35454106,1.10331768188004e-07,1949.9485129095,4.36783887931873e-06,2.54985796742971e-06,"dens_both"
5,46776105.4861559,21453484.0027629,2.58100630763327e-06,4116.36103071034,2.31606926049169e-05,1.22411588269722e-05,"dens_both"
6,213100199.76999,89282062.191779,5.69030306075505e-05,17278.7121558002,0.00013673876815738,6.47574324787013e-05,"dens_both"
7,743973956.202073,289293151.34173,0.000907256292761866,97204.6562165157,0.000824673714860275,0.000350987360466426,"dens_both"
8,1497114087.41815,558349852.614782,0.00511961161834356,324950.709862002,0.00282072279891242,0.00111297239108352,"dens_both"
9,1886424815.13351,693898191.290202,0.0090947154677997,369889.483688101,0.00323973948936015,0.00123802377676907,"dens_both"
10,1992748086.62777,730611665.949223,0.0101927107218644,294741.0281799,0.0025847378292988,0.000983304311140388,"dens_both"
11,2016098976.35088,738658933.872466,0.010415402814659,272220.1601072,0.00238735622787427,0.000908055422977811,"dens_both"
12,2020966261.43843,740335616.126426,0.0104607927831722,267507.543651629,0.00234603052551066,0.000892331674131922,"dens_both"
13,2021969583.73235,740681210.75099,0.010470105071576,266539.385088587,0.00233753995692545,0.000889102019673231,"dens_both"
14,2022175959.40445,740752295.646384,0.0104720186728577,266340.415440906,0.00233579500691705,0.000888438305699811,"dens_both"
15,2022218349.55944,740766896.634007,0.0104724116523734,266299.554183754,0.00233543665554119,0.000888302003546429,"dens_both"
16,2022227088.08172,740769906.553679,0.0104724926598752,266291.131157193,0.00233536278593902,0.000888273906637869,"dens_both"
17,2022228862.47018,740770517.728627,0.0104725091086006,266289.420844944,0.00233534778656807,0.000888268201506575,"dens_both"
18,2022229226.19586,740770643.011235,0.0104725124803612,266289.0702546,0.00233534471190452,0.000888267032033684,"dens_both"
19,2022229303.58854,740770669.668571,0.0104725131977961,266288.995656844,0.00233534405768512,0.000888266783196105,"dens_both"
20,2022229321.61966,740770675.879255,0.0104725133649457,266288.978276898,0.00233534390526367,0.000888266725221388,"dens_both"
21,2022229324.63757,740770676.918752,0.0104725133929219,266288.975367974,0.00233534387975253,0.00088826671551802,"dens_both"
22,2022229323.82047,740770676.637309,0.0104725133853474,266288.976155563,0.00233534388665965,0.000888266718145198,"dens_both"
23,2022229323.58361,740770676.555723,0.0104725133831516,266288.976383872,0.0023353438886619,0.000888266718906773,"dens_both"
24,2022229323.50783,740770676.529622,0.0104725133824492,266288.976456913,0.00233534388930247,0.000888266719150418,"dens_both"
25,2022229323.48359,740770676.521272,0.0104725133822244,266288.97648028,0.0023353438895074,0.000888266719228365,"dens_both"
26,2022229323.47583,740770676.518601,0.0104725133821526,266288.976487756,0.00233534388957297,0.000888266719253302,"dens_both"
27,2022229323.47335,740770676.517746,0.0104725133821295,266288.976490147,0.00233534388959394,0.00088826671926128,"dens_both"
28,2022229323.47256,740770676.517472,0.0104725133821222,266288.976490913,0.00233534388960065,0.000888266719263833,"dens_both"
29,2022229323.4723,740770676.517385,0.0104725133821198,266288.976491158,0.0023353438896028,0.000888266719264649,"dens_both"
30,2022229323.47222,740770676.517357,0.0104725133821191,266288.976491236,0.00233534388960349,0.000888266719264911,"dens_both"
