"time","Be","Bt","Bet","Pl","Pe","Pt"
0,50000,50000,0,5e+05,0,0
1,244354.193754334,221937.989317769,2.36418382488831e-11,500278.56588437,1.6148819266873e-06,1.59227308570062e-06
2,1193543.94504131,984637.207910144,4.31970729869734e-09,503312.765082747,1.89220691587747e-05,1.74613152400154e-05
3,5815400.34447324,4358215.15448798,1.28153126499863e-07,517526.197634285,0.000103705267830394,8.80655018266316e-05
4,28010096.232204,19082632.3756195,2.82300356691214e-06,584863.126935874,0.000522466326609485,0.000404762557122755
5,128116927.43318,79594835.3728311,5.94202944183592e-05,916425.29597865,0.00266077451615741,0.00187298782905976
6,480299270.101879,275409507.3072,0.00104469377164735,2715538.31109847,0.0145717012173604,0.00930569589581544
7,1110569824.74728,605208283.554384,0.0116547028540572,12349603.1351309,0.0794733782314419,0.0465543240986577
8,1527552266.88459,816279409.337377,0.0659218466791222,42525356.2149715,0.285503869228833,0.158506470666895
9,1654576217.44436,879306394.051009,0.200630398262454,82955484.0873566,0.563757022281802,0.305639908197284
10,1679835042.52864,890981078.79282,0.41132122156355,118852414.989736,0.81154855556084,0.435347378044197
11,1680278797.21514,889929664.784359,0.694862136609457,162207311.517854,1.11033846265394,0.592159780772989
12,1672308468.99148,884200316.767656,1.08180966486285,234807502.652195,1.60973934113676,0.855302385014113
13,1654475684.81412,872680639.498021,1.65195241182426,385114881.485496,2.64306074811252,1.40036327443228
14,1609721868.68694,845826301.091873,2.59931059358176,794969054.022188,5.46161258338508,2.8853791891774
15,1449295885.65372,756171314.569008,4.30865881251041,2616128613.80966,17.9995106839439,9.46971876611514
16,819355360.077855,424392524.522866,4.13812680901651,18667393868.82,128.760587676418,67.2469633515404
17,302917433.506038,156876631.981835,1.55535918842575,77259669157.2081,533.96396755085,277.262495443513
18,111437097.235336,57711688.2375649,0.572184753005049,111662115552.636,771.972958755879,400.47920097746
19,40995416.3887974,21230943.27199,0.210495003784129,124965836830.626,864.012315313866,448.128921423865
20,15081370.4823679,7810427.34481172,0.0774367823634672,129941851405.035,898.43786262816,465.951528466912
21,5548126.15280823,2873295.650884,0.0284874002614641,131783227215.048,911.177034853235,472.546802735707
22,2041041.55252898,1057026.40037963,0.0104799289086099,132462079774.498,915.873532159215,474.978257483875
23,750857.227728647,388858.282498764,0.00385535040058011,132712010974.964,917.602627877234,475.873439436954
24,276224.93741287,143052.967700154,0.00141830415128386,132803981927.228,918.238909268613,476.2028530687
25,101617.47567052,52626.2458452019,0.000521764938882466,132837819721.996,918.473008820916,476.32405037042
26,37382.9802366504,19360.1139506653,0.000191946594518218,132850268434.16,918.559132575289,476.368638097065
27,13752.4298893454,7122.18790665672,7.06132059806295e-05,132854848125.059,918.59081618786,476.385041240156
28,5059.23623341842,2620.10651270347,2.59771468119372e-05,132856532908.006,918.60247199854,476.391075650863
29,1861.18900282507,963.883322044263,9.55645827565257e-06,132857152706.201,918.606759939863,476.393295590751
30,684.693170675764,354.592858076348,3.51562453210297e-06,132857380717.379,918.60833738646,476.394112261586
