"time","Be","Bt","Bet","Pl","Pe","Pt","model"
0,17167,16278,0,179167,0,0,"dens_beta"
1,85724.207396055,73844.6225594183,2.79412217640693e-10,179256.778737942,2.47128130294143e-06,2.29956647829122e-06,"dens_beta"
2,427990.865246102,334937.072092386,3.45020603992274e-08,180290.117555611,2.4690219013715e-05,2.14634260309771e-05,"dens_beta"
3,2134968.03291073,1517943.19248027,1.0792749842987e-06,185238.68861875,0.000135657145853877,0.000108388136218888,"dens_beta"
4,10606180.4929648,6852736.54441638,2.63779097175601e-05,209157.234735669,0.000690107838405852,0.000502420478508,"dens_beta"
5,51673106.8558773,30374480.0867317,0.000589317715554013,328539.290025723,0.00346866166662189,0.00228584328335868,"dens_beta"
6,230835114.839118,124079831.366147,0.0115089299305049,985323.581893252,0.0178154693262927,0.0105183587871216,"dens_beta"
7,761536691.054027,381030316.850668,0.151561975559083,5050903.09885124,0.101336123017731,0.0539032818550595,"dens_beta"
8,1423824855.4457,685464326.774051,0.838863672998941,23345835.327885,0.479652598656429,0.238817473482293,"dens_beta"
9,1742201816.4316,827666630.458654,1.72500164008344,44626993.9914415,0.925112098905267,0.448307072787485,"dens_beta"
10,1840393336.60809,871043748.419687,2.10159333046489,43646312.5777971,0.906609516844837,0.436629621042384,"dens_beta"
11,1867136742.4732,882839205.316849,2.1999669903832,40177756.0354136,0.83474779119684,0.401744687669665,"dens_beta"
12,1873937984.54673,885838817.852947,2.22393969437908,39033842.9348771,0.810993924393764,0.390294005367716,"dens_beta"
13,1875624201.33954,886582514.762061,2.22980500529357,38736216.533574,0.804810997956492,0.387317316268972,"dens_beta"
14,1876039406.6439,886765639.677333,2.23124432113167,38662143.067249,0.80327204152402,0.386576621153446,"dens_beta"
15,1876141460.48423,886810650.237196,2.23159779216926,38643889.9601464,0.802892804855095,0.386394108438627,"dens_beta"
16,1876166528.00869,886821706.201815,2.23168459718454,38639403.6433922,0.802799594132909,0.386349250301591,"dens_beta"
17,1876172703.60236,886824429.931087,2.23170598121919,38638298.2326217,0.802776627346845,0.386338197464774,"dens_beta"
18,1876174204.24149,886825091.784019,2.23171117736864,38638029.6129865,0.802771046315837,0.386335511579148,"dens_beta"
19,1876174571.92264,886825253.948825,2.23171245050631,38637963.7961473,0.802769678858647,0.386334853487006,"dens_beta"
20,1876174672.07047,886825298.118762,2.23171279727928,38637945.8691313,0.802769306394279,0.386334674237621,"dens_beta"
21,1876174694.03473,886825307.806039,2.23171287333292,38637941.9374088,0.80276922470603,0.386334634924952,"dens_beta"
22,1876174692.18339,886825306.989514,2.23171286692248,38637942.2688078,0.80276923159141,0.386334638238558,"dens_beta"
23,1876174691.55055,886825306.7104,2.23171286473119,38637942.3820905,0.802769233945052,0.386334639371254,"dens_beta"
24,1876174691.32858,886825306.612502,2.23171286396261,38637942.4218237,0.802769234770578,0.38633463976854,"dens_beta"
25,1876174691.25073,886825306.578165,2.23171286369303,38637942.4357599,0.802769235060127,0.386334639907886,"dens_beta"
26,1876174691.22342,886825306.566121,2.23171286359848,38637942.440648,0.802769235161685,0.386334639956761,"dens_beta"
27,1876174691.21385,886825306.561897,2.23171286356532,38637942.4423624,0.802769235197305,0.386334639973904,"dens_beta"
28,1876174691.21049,886825306.560416,2.23171286355368,38637942.4429638,0.802769235209799,0.386334639979916,"dens_beta"
29,1876174691.20931,886825306.559896,2.2317128635496,38637942.4431747,0.802769235214181,0.386334639982025,"dens_beta"
30,1876174691.2089,886825306.559714,2.23171286354817,38637942.4432487,0.802769235215718,0.386334639982765,"dens_beta"
