,model_name,beta,L,gamma,alpha,tau,log.density
1,tr_dde_mass_decay_link_L,1.40E-10,61.5,3.65E-05,1.29E-07,0.3000,-37811432.56
2,tr_dde_fit_mass_decay_link_L,7.82E-11,55.4,3.25E-05,6.30E-07,0.0011,-35431630.68
3,tr_dde_mass_decay_link_beta,3.58E-10,51.5,3.43E-05,1.62E-06,0.3000,-28446278.72
4,tr_dde_mass_decay_link_both,5.18E-10,60.2,3.36E-05,1.22E-06,0.3000,-25509454.88
5,tr_dde_fit_mass_decay_link_both,5.10E-10,61.9,3.41E-05,1.15E-06,0.3052,-25506541.74
6,tr_dde_frequentist_decay_link_beta,3.51E-10,53.6,3.34E-05,2.24E-06,0.3000,-28446138.52
7,tr_dde_frequentist_decay_link_L,2.52E-10,38.9,3.44E-05,1.20E-07,0.3000,-36320172.67
8,tr_dde_frequentist_decay_link_both,4.28E-10,73.6,3.34E-05,1.55E-06,0.3000,-25435058.37
9,tr_dde_fit_frequentist_decay_link_both,4.30E-10,74.0,3.23E-05,9.92E-07,0.3035,-25451149.75
10,tr_dde_fit_frequentist_decay_link_L,1.27E-10,36.4,3.54E-05,4.25E-07,0.0010,-34628485.44
