"model_name","init_pha","DIC"
"mass_decay_link_L","10_3",3467.59618897378
"mass_decay_link_L","10_4",3956.25241571442
"mass_decay_link_L","10_5",91840.8027127136
"mass_decay_link_beta","10_3",1481.09599203623
"mass_decay_link_beta","10_4",5832.20356709062
"mass_decay_link_beta","10_5",1330.48683358723
"mass_decay_link_both","10_3",73795.382865874
"mass_decay_link_both","10_4",457.519439420235
"mass_decay_link_both","10_5",1310.7903736414
"frequentist_decay_link_beta","10_3",1439.9706257841
"frequentist_decay_link_beta","10_4",2534.04270300807
"frequentist_decay_link_beta","10_5",1338.85267424958
"frequentist_decay_link_both","10_3",181844.025609948
"frequentist_decay_link_both","10_4",282.541541442402
"frequentist_decay_link_both","10_5",1358.29411875863
"frequentist_decay_link_L","10_3",3323.13483764874
"frequentist_decay_link_L","10_4",3878.04463438435
"frequentist_decay_link_L","10_5",967.458902745975
