"beta","L","gamma","alpha","tau","log.density"
7128821989.82999,81.9653392692948,10.6102822618156,79683934.592094,0.388674324311536,-1596.90039081945
7136041186.54931,82.0674038883612,10.5920692648236,79656155.0060441,0.388210348988498,-1597.26817869045
7136041186.54931,82.0674038883612,10.5920692648236,79656155.0060441,0.388210348988498,-1597.26817869045
7127946712.0003,81.9834308164076,10.5904289856618,79651720.994363,0.388287610064602,-1597.00659092751
7126363109.83477,82.0420544385043,10.6057211544829,79669276.6843332,0.389031066127752,-1596.79606351011
7128704507.18586,81.8084734659772,10.5783538152465,79650002.9431972,0.387589688535702,-1597.45533321891
7128704507.18586,81.8084734659772,10.5783538152465,79650002.9431972,0.387589688535702,-1597.45533321891
7112794446.52054,81.6327303307363,10.5587714615584,79711403.3167106,0.387417333751397,-1597.10925291551
7076991398.69921,81.6038697103482,10.527903412008,79528794.8224648,0.389176371636925,-1595.81020779751
7084945103.3968,81.5699029241518,10.5198772240783,79737919.9138823,0.388717286266235,-1597.16366833729
7070175875.1105,81.4458050970913,10.5253197001902,79662919.3709437,0.388281283215151,-1596.72259399917
7073377497.88174,81.3996483005848,10.5278303296318,79660012.546374,0.388633707623257,-1597.67958898685
7067525412.63303,81.374554421096,10.5328575906004,79904136.4726906,0.38853080573433,-1595.71264172848
7067525412.63303,81.374554421096,10.5328575906004,79904136.4726906,0.38853080573433,-1595.71264172848
7043757794.27007,81.0944683120211,10.5519322319133,80121653.3549218,0.388651597474574,-1595.57477800651
7043757794.27007,81.0944683120211,10.5519322319133,80121653.3549218,0.388651597474574,-1595.57477800651
7047921765.24333,81.0647939333305,10.5394706251418,80121870.5283735,0.388091738449222,-1595.60156705861
7047921765.24333,81.0647939333305,10.5394706251418,80121870.5283735,0.388091738449222,-1595.60156705861
7046932883.87827,81.277605654786,10.5431326834999,80452227.8507861,0.389769669765354,-1596.35606216824
7046932883.87827,81.277605654786,10.5431326834999,80452227.8507861,0.389769669765354,-1596.35606216824
7029732661.51291,81.1415619262057,10.5327124951681,80257709.2682716,0.389358470745277,-1596.31847553179
7039495839.91145,81.2979430112987,10.5369362115011,80254660.884865,0.389998230604951,-1595.39551288037
7039495839.91145,81.2979430112987,10.5369362115011,80254660.884865,0.389998230604951,-1595.39551288037
7045989101.75684,81.2864724823361,10.5539680098386,80099998.2204899,0.389770520816618,-1595.69533933411
7045989101.75684,81.2864724823361,10.5539680098386,80099998.2204899,0.389770520816618,-1595.69533933411
7045989101.75684,81.2864724823361,10.5539680098386,80099998.2204899,0.389770520816618,-1595.69533933411
7034391789.89682,81.1375834515142,10.5457338443295,80062216.5940227,0.389113064225646,-1596.58075198981
7034391789.89682,81.1375834515142,10.5457338443295,80062216.5940227,0.389113064225646,-1596.58075198981
7039819748.83251,81.0714246434745,10.5383174356046,80232353.5647282,0.388716336800772,-1595.54408752692
7039819748.83251,81.0714246434745,10.5383174356046,80232353.5647282,0.388716336800772,-1595.54408752692
7041547028.1986,80.9924771219175,10.499086801437,80387839.7293601,0.387692144979753,-1595.24090353038
7044665481.53321,80.9239890115343,10.5562223242025,80329237.1121068,0.387213900367605,-1596.09043410409
7056644571.81212,81.0570517972257,10.5707518272915,80289746.7112613,0.387502760965271,-1595.75518757936
7074477511.04258,81.2673273104356,10.5870888875433,80524661.4703639,0.38795824445615,-1596.01540302254
7069332713.19993,81.2479620695819,10.5838453983823,80468807.516695,0.387735241997727,-1596.53975997564
7079057865.4598,81.2907555317776,10.5973070406136,80645644.5719102,0.387799735166622,-1595.94582446677
7080497877.01324,81.3299067038876,10.6039562901461,80567060.6860092,0.387988575724457,-1596.01382933616
7080497877.01324,81.3299067038876,10.6039562901461,80567060.6860092,0.387988575724457,-1596.01382933616
7082919621.0541,81.4521510091139,10.6161828378769,80315664.5171404,0.388575644461456,-1596.24475581423
7082649184.4054,81.535025409621,10.636342829096,80341957.2234487,0.389250706410053,-1596.51486167685
7080906413.45363,81.4464668969002,10.6460194880876,80344555.8758813,0.388831054966163,-1596.84209068246
7067320830.51509,81.3885807758466,10.6055994457697,80233488.335328,0.388904888079915,-1597.23616138223
7069619347.07437,81.4048708021302,10.6110970727991,80501604.1001064,0.38932992953754,-1596.02512068027
7074699786.0238,81.4219895971925,10.6255832259274,80606567.3193444,0.389375930557435,-1596.48919690431
7080508444.74007,81.6943567150598,10.5895175570733,80397587.7225432,0.39065989643315,-1598.38010760093
7078012572.35212,81.7440372793014,10.5834893463239,80417988.8717564,0.390617475981142,-1595.99598240912
7083454137.38723,81.8587680636124,10.5798166055408,80624161.4744918,0.390941061400764,-1596.03506057184
