"Time","cfu","Bacteria"
0,23333.3333333333,"Total"
0,12333.3333333333,"EryR"
0,7500,"TetR"
0,0,"DRP"
0,1975,"P"
1,20000,"Total"
1,20000,"EryR"
1,20000,"TetR"
1,0,"DRP"
1,1950,"P"
2,166666.666666667,"Total"
2,46666.6666666667,"EryR"
2,56666.6666666667,"TetR"
2,0,"DRP"
2,2600,"P"
3,6e+05,"Total"
3,2e+05,"EryR"
3,266666.666666667,"TetR"
3,0,"DRP"
3,2950,"P"
4,4666666.66666667,"Total"
4,2e+06,"EryR"
4,7e+05,"TetR"
4,0,"DRP"
4,9000,"P"
5,43333333.3333333,"Total"
5,20333333.3333333,"EryR"
5,16666666.6666667,"TetR"
5,0,"DRP"
5,55000,"P"
6,133333333.333333,"Total"
6,96666666.6666667,"EryR"
6,96666666.6666667,"TetR"
6,0,"DRP"
6,60000,"P"
7,666666666.666667,"Total"
7,533333333.333333,"EryR"
7,3e+08,"TetR"
7,0,"DRP"
7,135000,"P"
8,1.3e+09,"Total"
8,566666666.666667,"EryR"
8,933333333.333333,"TetR"
8,0,"DRP"
8,2e+05,"P"
16,1333333333.33333,"Total"
16,933333333.333333,"EryR"
16,866666666.666667,"TetR"
16,0,"DRP"
16,135000,"P"
17,2666666666.66667,"Total"
17,666666666.666667,"EryR"
17,1266666666.66667,"TetR"
17,0,"DRP"
17,110000,"P"
18,2e+09,"Total"
18,733333331.333333,"EryR"
18,1133333331.33333,"TetR"
18,2.0000000199681,"DRP"
18,120000,"P"
19,3666666666.66667,"Total"
19,766666664.666667,"EryR"
19,1299999998,"TetR"
19,2.0000000199681,"DRP"
19,150000,"P"
20,1.9e+09,"Total"
20,533333333.333333,"EryR"
20,1.3e+09,"TetR"
20,0,"DRP"
20,105000,"P"
21,1733333333.33333,"Total"
21,866666664.666667,"EryR"
21,1233333331.33333,"TetR"
21,2.0000000199681,"DRP"
21,90000,"P"
22,3333333333.33333,"Total"
22,866666662.666667,"EryR"
22,1466666662.66667,"TetR"
22,4.00000003993621,"DRP"
22,1e+05,"P"
23,1.3e+09,"Total"
23,366666662.666667,"EryR"
23,799999996,"TetR"
23,4.00000003993621,"DRP"
23,80000,"P"
24,1133333333.33333,"Total"
24,5.5e+08,"EryR"
24,1083333333.33333,"TetR"
24,0,"DRP"
24,60000,"P"
