"Time","Bacteria","data1","data2","data3","Mean","se","se_min","se_max"
0,"Total",23333.3333333333,31666.6666666667,21666.6666666667,25555.5555555556,3093.20242379446,22462.3531317611,28648.75797935
0,"EryR",12333.3333333333,21666.6666666667,12166.6666666667,15388.8888888889,3139.25759879704,12249.6312900919,18528.1464876859
0,"TetR",7500,13166.6666666667,13500,11388.8888888889,1946.82394088169,9442.0649480072,13335.7128297706
0,"DRP",0,0,0,0,0,0,0
0,"P",1975,1175,1150,1433.33333333333,270.929470116814,1162.40386321652,1704.26280345015
1,"Total",20000,63333.3333333333,33333.3333333333,38888.8888888889,12813.9584385231,26074.9304503658,51702.847327412
1,"EryR",20000,20000,20000,20000,0,20000,20000
1,"TetR",20000,20000,33333.3333333333,24444.4444444444,4444.44444444445,20000,28888.8888888889
1,"DRP",0,0,0,0,0,0,0
1,"P",1950,1550,1250,1583.33333333333,202.758751009941,1380.57458232339,1786.09208434327
2,"Total",166666.666666667,3e+05,3e+05,255555.555555556,44444.4444444444,211111.111111111,3e+05
2,"EryR",46666.6666666667,180000,203333.333333333,143333.333333333,48800.4250133283,94532.908320005,192133.758346662
2,"TetR",56666.6666666667,133333.333333333,130000,106666.666666667,25018.5116648838,81648.1550017829,131685.17833155
2,"DRP",0,0,0,0,0,0,0
2,"P",2600,1950,1400,1983.33333333333,346.810867444747,1636.52246588859,2330.14420077808
3,"Total",6e+05,2366666.66666667,1766666.66666667,1577777.77777778,518664.000754836,1059113.77702294,2096441.77853261
3,"EryR",2e+05,9e+05,966666.666666667,688888.888888889,245200.849896821,443688.038992068,934089.73878571
3,"TetR",266666.666666667,866666.666666667,933333.333333333,688888.888888889,211986.489203766,476902.399685123,900875.378092655
3,"DRP",0,0,0,0,0,0,0
3,"P",2950,1300,950,1733.33333333333,616.666666666667,1116.66666666667,2350
4,"Total",4666666.66666667,17666666.6666667,15333333.3333333,12555555.5555556,4001542.91230425,8554012.64325131,16557098.4678598
4,"EryR",2e+06,8e+06,6666666.66666667,5555555.55555556,1818967.28263832,3736588.27291723,7374522.83819388
4,"TetR",7e+05,5e+06,4e+06,3233333.33333333,1299145.01799367,1934188.31533966,4532478.35132701
4,"DRP",0,0,0,0,0,0,0
4,"P",9000,6000,3500,6166.66666666667,1589.89866902824,4576.76799763842,7756.56533569491
5,"Total",43333333.3333333,73333333.3333333,103333333.333333,73333333.3333333,17320508.0756888,56012825.2576446,90653841.4090221
5,"EryR",20333333.3333333,46666666.6666667,5e+07,3.9e+07,9382805.39268704,29617194.607313,48382805.392687
5,"TetR",16666666.6666667,26666666.6666667,16666666.6666667,2e+07,3333333.33333333,16666666.6666667,23333333.3333333
5,"DRP",0,0,0,0,0,0,0
5,"P",55000,14500,20000,29833.3333333333,12683.1033706704,17150.2299626629,42516.4367040037
6,"Total",133333333.333333,533333333.333333,366666666.666667,344444444.444444,116003405.654562,228441038.789883,460447850.099006
6,"EryR",96666666.6666667,366666666.666667,166666666.666667,2.1e+08,80897740.6634107,129102259.336589,290897740.663411
6,"TetR",96666666.6666667,233333333.333333,133333333.333333,154444444.444444,40839946.5544202,113604497.890024,195284390.998865
6,"DRP",0,0,0,0,0,0,0
6,"P",60000,70000,50000,60000,5773.50269189626,54226.4973081037,65773.5026918963
7,"Total",666666666.666667,933333333.333333,733333333.333333,777777777.777778,80123361.6769775,697654416.1008,857901139.454755
7,"EryR",533333333.333333,4e+08,333333333.333333,422222222.222222,58794473.5792131,363427748.643009,481016695.801435
7,"TetR",3e+08,2e+08,466666666.666667,322222222.222222,77777777.7777778,244444444.444444,4e+08
7,"DRP",0,0,0,0,0,0,0
7,"P",135000,1e+05,65000,1e+05,20207.2594216369,79792.7405783631,120207.259421637
8,"Total",1.3e+09,2333333333.33333,1666666666.66667,1766666666.66667,302459057.529249,1464207609.13742,2069125724.19592
8,"EryR",566666666.666667,1666666665.66667,8e+08,1011111110.77778,334627118.481836,676483992.295942,1345738229.25961
8,"TetR",933333333.333333,1333333332.33333,633333333.333333,966666666.333333,202758750.708543,763907915.624791,1169425417.04188
8,"DRP",0,1,0,0.333333333333333,0.333333333333333,0,0.666666666666667
8,"P",2e+05,1e+05,75000,125000,38188.1307912987,86811.8692087013,163188.130791299
16,"Total",1333333333.33333,2.4e+09,1733333333.33333,1822222222.22222,311111111.111111,1511111111.11111,2133333333.33333
16,"EryR",933333333.333333,1099999999,1033333331.33333,1022222221.22222,48432210.1396617,973790011.082561,1070654431.36188
16,"TetR",866666666.666667,1033333332.33333,733333331.333333,877777776.777778,86780552.2105922,790997224.567186,964558328.98837
16,"DRP",0,1,2,1,0.577350269189626,0.422649730810374,1.57735026918963
16,"P",135000,2e+05,150000,161666.666666667,19649.7102042527,142016.956462414,181316.376870919
17,"Total",2666666666.66667,2333333333.33333,2333333333.33333,2444444444.44444,111111111.111111,2333333333.33333,2555555555.55556
17,"EryR",666666666.666667,1033333322.33333,1233333333.33333,977777774.111111,165924271.864689,811853502.246422,1143702045.9758
17,"TetR",1266666666.66667,1233333322.33333,1.2e+09,1233333329.66667,19245008.9729879,1214088320.69368,1252578338.63965
17,"DRP",0,11,0,3.66666666666667,3.66666666666667,0,7.33333333333333
17,"P",110000,165000,375000,216666.666666667,80743.0767585955,135923.589908071,297409.743425262
18,"Total",2e+09,1766666666.66667,1333333333.33333,1.7e+09,195315509.236077,1504684490.76392,1895315509.23608
18,"EryR",733333331.333333,1166666663.66667,1066666665.66667,988888886.888889,130998067.901123,857890818.987766,1119886954.79001
18,"TetR",1133333331.33333,466666663.666667,699999999,766666664.666667,195315509.435185,571351155.231481,961982174.101852
18,"DRP",2.0000000199681,3,1,2.00000000665603,0.577350269189626,1.42264973746641,2.57735027584566
18,"P",120000,125000,1e+05,115000,7637.62615825973,107362.37384174,122637.62615826
19,"Total",3666666666.66667,1433333333.33333,4e+09,3033333333.33333,805766255.969595,2227567077.36374,3839099589.30293
19,"EryR",766666664.666667,1033333332.33333,1299999996,1033333331,153960071.20655,879373259.79345,1187293402.20655
19,"TetR",1299999998,666666665.666667,1166666662.66667,1044444442.11111,192770572.49423,851673869.616881,1237215014.60534
19,"DRP",2.0000000199681,1,4,2.33333333998937,0.881917102430325,1.45141623755904,3.21525044241969
19,"P",150000,95000,230000,158333.333333333,39193.2533876828,119140.079945651,197526.586721016
20,"Total",1.9e+09,1766666666.66667,1766666666.66667,1811111111.11111,44444444.4444445,1766666666.66667,1855555555.55556
20,"EryR",533333333.333333,499999998,666666664.666667,566666665.333333,50917507.5035137,515749157.82982,617584172.836847
20,"TetR",1.3e+09,633333331.333333,733333331.333333,888888887.555556,207572686.129848,681316201.425707,1096461573.6854
20,"DRP",0,2,2,1.33333333333333,0.666666666666667,0.666666666666667,2
20,"P",105000,120000,115000,113333.333333333,4409.58551844098,108923.747814892,117742.918851774
21,"Total",1733333333.33333,3666666666.66667,1933333333.33333,2444444444.44444,613832325.197028,1830612119.24742,3058276769.64147
21,"EryR",866666664.666667,1399999995,999999999,1088888886.22222,160246722.29078,928642163.931443,1249135608.513
21,"TetR",1233333331.33333,766666661.666667,866666665.666667,955555552.888889,141857170.948045,813698381.940844,1097412723.83693
21,"DRP",2.0000000199681,5,1,2.6666666733227,1.20185042330861,1.46481625001409,3.86851709663131
21,"P",90000,650000,270000,336666.666666667,165058.912041866,171607.754624801,501725.578708533
22,"Total",3333333333.33333,3333333333.33333,2e+09,2888888888.88889,444444444.444444,2444444444.44444,3333333333.33333
22,"EryR",866666662.666667,1333333333.33333,999999986,1066666660.66667,138777735.379408,927888925.287259,1205444396.04608
22,"TetR",1466666662.66667,666666666.666667,599999986,911111105.111111,278443647.635643,632667457.475468,1189554752.74675
22,"DRP",4.00000003993621,0,14,6.00000001331207,4.16333199573481,1.83666801757726,10.1633320090469
22,"P",1e+05,115000,50000,88333.3333333333,19649.7102042527,68683.6231290807,107983.043537586
23,"Total",1.3e+09,2333333333.33333,3666666666.66667,2433333333.33333,685025006.302149,1748308327.03118,3118358339.63548
23,"EryR",366666662.666667,899999995,1299999998,855555551.888889,270345001.867184,585210550.021705,1125900553.75607
23,"TetR",799999996,899999995,533333331.333333,744444440.777778,109431752.473323,635012688.304454,853876193.251101
23,"DRP",4.00000003993621,5,2,3.66666667997874,0.881917106203942,2.78474957377479,4.54858378618268
23,"P",80000,185000,95000,120000,32787.19262151,87212.80737849,152787.19262151
24,"Total",1133333333.33333,2666666666.66667,2466666666.66667,2088888888.88889,481253507.282394,1607635381.6065,2570142396.17128
24,"EryR",5.5e+08,1216666663.16667,1216666664.16667,994444442.444445,222222221.222222,772222221.222222,1216666663.66667
24,"TetR",1083333333.33333,683333329.833333,1066666664.16667,944444442.444445,130644178.735012,813800263.709433,1075088621.17946
24,"DRP",0,3.5,2.5,2,1.04083299973307,0.959167000266934,3.04083299973307
24,"P",60000,62500,87500,70000,8779.71146071062,61220.2885392894,78779.7114607106
