Time,Plate,Count,Dilution,,,,
0,BHIA,12,2,,,,
0,T,9,2,,,,
0,E,14,2,,,,
0,T+E,0,0,,,,
0,P,24,4,,,,
1,BHIA,15,2,,,,
1,T,13,2,,,,
1,E,13,2,,,,
1,T+E,0,0,,,,
1,P,24,4,,,,
2,BHIA,7,3,,,,
2,T,41,2,,,,
2,E,48,2,,,,
2,T+E,0,0,,,,
2,P,30,4,,,,
3,BHIA,10,4,,,,
3,T,32,3,,,,
3,E,46,3,,,,
3,T+E,0,0,,,,
3,P,33,4,,,,
4,BHIA,52,4,,,,
4,T,15,4,,,,
4,E,32,4,,,,
4,T+E,0,0,,,,
4,P,57,4,,,,
5,BHIA,35,5,,,,
5,T,11,5,,,,
5,E,11,5,,,,
5,T+E,0,0,,,,
5,P,164,4,,,,
6,BHIA,8,6,,,,
6,T,10,6,,,,
6,E,54,5,,,,
6,T+E,0,0,,,,
6,P,44,5,,,,
7,BHIA,10,6,,,,
7,T,7,6,,,,
7,E,86,5,,,,
7,T+E,0,0,,,,
7,P,153,5,,,,
8,BHIA,16,6,,,,
8,T,37,5,,,,
8,E,9,6,,,,
8,T+E,0,0,,,,
8,P,24,5,,,,
24,BHIA,28,5,,,,
24,T,14,5,,,,
24,E,12,5,,,,
24,T+E,0,0,,,,
24,P,115,6,,,,
0,BHIA,12,2,,,,
0,T,6,2,,,,
0,E,10,2,,,,
0,T+E,0,0,,,,
0,P,36,4,,,,
16,BHIA,48,5,,,,
16,T,24,5,,,,
16,E,17,5,,,,
16,T+E,0,0,,,,
16,P,74,6,,,,
17,BHIA,30,5,,,,
17,T,10,5,,,,
17,E,10,5,,,,
17,T+E,0,0,,,,
17,P,69,6,,,,
18,BHIA,10,5,,,,
18,T,7,5,,,,
18,E,9,5,,,,
18,T+E,0,0,,,,
18,P,105,6,,,,
19,BHIA,18,5,,,,
19,T,11,5,,,,
19,E,13,5,,,,
19,T+E,0,0,,,,
19,P,92,6,,,,
20,BHIA,23,5,,,,
20,T,10,5,,,,
20,E,9,5,,,,
20,T+E,0,0,,,,
20,P,92,6,,,,
21,BHIA,17,5,,,,
21,T,7,5,,,,
21,E,11,5,,,,
21,T+E,0,0,,,,
21,P,96,6,,,,
22,BHIA,12,5,,,,
22,T,2,5,,,,
22,E,1,5,,,,
22,T+E,0,0,,,,
22,P,167,6,,,,
23,BHIA,7,5,,,,
23,T,5,5,,,,
23,E,10,5,,,,
23,T+E,0,0,,,,
23,P,103,6,,,,
24,BHIA,20,5,,,,
24,T,5,5,,,,
24,E,6,5,,,,
24,T+E,0,0,,,,
24,P,105,6,,,,
,,,,,,,
