Time,Plate,Count,Dilution
0,BHIA,23,1
0,T,16,1
0,E,49,0
0,T+E,0,0
0,P,25,4
1,BHIA,24,1
1,T,17,1
1,E,6,1
1,T+E,0,0
1,P,21,4
2,BHIA,15,2
2,T,8,2
2,E,26,1
2,T+E,0,0
2,P,25,4
3,BHIA,8,3
3,T,6,3
3,E,17,2
3,T+E,0,0
3,P,29,4
4,BHIA,48,3
4,T,23,3
4,E,9,3
4,T+E,0,0
4,P,40,4
5,BHIA,27,4
5,T,12,4
5,E,8,4
5,T+E,0,0
5,P,9,5
6,BHIA,17,5
6,T,13,5
6,E,37,4
6,T+E,0,0
6,P,32,6
7,BHIA,8,4
7,T,2,4
7,E,1,3
7,T+E,0,0
7,P,34,7
8,BHIA,1,3
8,T,1,3
8,E,1,3
8,T+E,0,0
8,P,51,7
24,BHIA,150,4
24,T,100,4
24,E,24,4
24,T+E,25,0
24,P,49,6
0,BHIA,22,1
0,T,13,1
0,E,44,0
0,T+E,0,0
0,P,38,4
16,BHIA,40,2
16,T,16,2
16,E,7,2
16,T+E,0,0
16,P,54,7
17,BHIA,18,3
17,T,9,3
17,E,1,3
17,T+E,0,0
17,P,61,7
18,BHIA,12,4
18,T,22,3
18,E,40,3
18,T+E,0,0
18,P,9,8
19,BHIA,50,4
19,T,20,4
19,E,36,3
19,T+E,0,0
19,P,58,7
20,BHIA,120,4
20,T,53,4
20,E,47,4
20,T+E,0,0
20,P,44,7
21,BHIA,400,4
21,T,210,4
21,E,115,4
21,T+E,14,0
21,P,13,7
22,BHIA,400,4
22,T,210,4
22,E,115,4
22,T+E,10,0
22,P,18,7
23,BHIA,400,4
23,T,300,4
23,E,89,4
23,T+E,29,0
23,P,44,6
24,BHIA,400,4
24,T,300,4
24,E,96,4
24,T+E,77,0
24,P,15,6
