"Time","cfu","Bacteria"
0,4500,"Total"
0,930,"EryR"
0,1575000,"P"
0,2900,"TetR"
0,0,"DRP"
1,4800,"Total"
1,1200,"EryR"
1,1050000,"P"
1,3400,"TetR"
1,0,"DRP"
2,30000,"Total"
2,5200,"EryR"
2,1250000,"P"
2,16000,"TetR"
2,0,"DRP"
3,160000,"Total"
3,34000,"EryR"
3,1450000,"P"
3,120000,"TetR"
3,0,"DRP"
4,960000,"Total"
4,180000,"EryR"
4,2e+06,"P"
4,460000,"TetR"
4,0,"DRP"
5,5400000,"Total"
5,1600000,"EryR"
5,4500000,"P"
5,2400000,"TetR"
5,0,"DRP"
6,3.4e+07,"Total"
6,7400000,"EryR"
6,1.6e+08,"P"
6,2.6e+07,"TetR"
6,0,"DRP"
7,1600000,"Total"
7,20000,"EryR"
7,1.7e+09,"P"
7,4e+05,"TetR"
7,0,"DRP"
8,20000,"Total"
8,20000,"EryR"
8,2.55e+09,"P"
8,20000,"TetR"
8,0,"DRP"
16,80000,"Total"
16,14000,"EryR"
16,2.7e+09,"P"
16,32000,"TetR"
16,0,"DRP"
17,360000,"Total"
17,20000,"EryR"
17,3.05e+09,"P"
17,180000,"TetR"
17,0,"DRP"
18,2400000,"Total"
18,8e+05,"EryR"
18,4.5e+09,"P"
18,440000,"TetR"
18,0,"DRP"
19,1e+07,"Total"
19,720000,"EryR"
19,2.9e+09,"P"
19,4e+06,"TetR"
19,0,"DRP"
20,2.4e+07,"Total"
20,9400000,"EryR"
20,2.2e+09,"P"
20,10600000,"TetR"
20,0,"DRP"
21,8e+07,"Total"
21,22999720,"EryR"
21,6.5e+08,"P"
21,41999720,"TetR"
21,280,"DRP"
22,8e+07,"Total"
22,22999800,"EryR"
22,9e+08,"P"
22,41999800,"TetR"
22,200,"DRP"
23,8e+07,"Total"
23,17799420,"EryR"
23,2.2e+08,"P"
23,59999420,"TetR"
23,580,"DRP"
24,5.5e+07,"Total"
24,11998980,"EryR"
24,1.6e+08,"P"
24,39998980,"TetR"
24,1020,"DRP"
