"Time","Bacteria","data1","data2","data3","Mean","se","se_min","se_max"
0,"Total",4000,3200,6000,4400,832.666399786453,3567.33360021355,5232.66639978645
0,"EryR",4200,1800,3400,3133.33333333333,705.533682950558,2427.79965038278,3838.86701628389
0,"P",6500,8000,13500,9333.33333333333,2127.85755580062,7205.47577753272,11461.190889134
0,"TetR",800,2400,1440,1546.66666666667,464.949220644339,1081.71744602233,2011.61588731101
0,"DRP",0,0,0,0,0,0,0
1,"Total",3600,3200,5600,4133.33333333333,742.36858171067,3390.96475162266,4875.701915044
1,"EryR",4000,2200,4200,3466.66666666667,635.959467611297,2830.70719905537,4102.62613427796
1,"P",9000,17000,12500,12833.3333333333,2315.40733157497,10517.9260017584,15148.7406649083
1,"TetR",2000,1220,800,1340,351.567916624939,988.432083375061,1691.56791662494
1,"DRP",0,0,0,0,0,0,0
2,"Total",16000,30000,40000,28666.6666666667,6960.2043392737,21706.462327393,35626.8710059404
2,"EryR",14000,14400,40000,22800,8600.77515886407,14199.2248411359,31400.7751588641
2,"P",11500,12500,16500,13500,1527.52523165195,11972.4747683481,15027.5252316519
2,"TetR",5800,6600,26000,12800,6604.03916806475,6195.96083193525,19404.0391680647
2,"DRP",0,0,0,0,0,0,0
3,"Total",214000,160000,280000,218000,34698.7031457949,183301.296854205,252698.703145795
3,"EryR",130000,102000,280000,170666.666666667,55260.9968945347,115405.669772132,225927.663561201
3,"P",9500,15500,16500,13833.3333333333,2185.812841434,11647.5204918993,16019.1461747673
3,"TetR",58000,56000,140000,84666.6666666667,27672.6901073563,56993.9765593103,112339.356774023
3,"DRP",0,0,0,0,0,0,0
4,"Total",1480000,1060000,1420000,1320000,131148.77048604,1188851.22951396,1451148.77048604
4,"EryR",640000,560000,1200000,8e+05,201328.918273887,598671.081726113,1001328.91827389
4,"P",17000,28500,39000,28166.6666666667,6353.03951751531,21813.6271491514,34519.706184182
4,"TetR",180000,180000,6e+05,320000,140000,180000,460000
4,"DRP",0,0,0,0,0,0,0
5,"Total",6e+06,11800000,12600000,10133333.3333333,2079529.86139763,8053803.4719357,12212863.194731
5,"EryR",5e+06,4400000,5800000,5066666.66666667,405517.502019881,4661149.16464679,5472184.16868655
5,"P",63000,54500,205000,107500,48811.7130751763,58688.2869248237,156311.713075176
5,"TetR",3e+06,2200000,4800000,3333333.33333333,768837.506311386,2564495.82702195,4102170.83964472
5,"DRP",0,0,0,0,0,0,0
6,"Total",6.2e+07,4.4e+07,8e+07,6.2e+07,10392304.8454133,51607695.1545867,72392304.8454133
6,"EryR",4.2e+07,1.8e+07,5.6e+07,38666666.6666667,11095544.6513955,27571122.0152712,49762211.3180622
6,"P",3400000,7e+05,7e+06,3700000,1824828.75908947,1875171.24091053,5524828.75908947
6,"TetR",14800000,9400000,3.4e+07,19400000,7464583.04260861,11935416.9573914,26864583.0426086
6,"DRP",0,0,0,0,0,0,0
7,"Total",2.24e+08,1.42e+08,3.6e+08,2.42e+08,63571482.0759539,178428517.924046,305571482.075954
7,"EryR",1.34e+08,7.8e+07,1.8e+08,130666666.666667,29491995.1474596,101174671.519207,160158661.814126
7,"P",4.6e+07,14500000,2.4e+08,100166666.666667,70505515.9386681,29661150.7279986,170672182.605335
7,"TetR",4.6e+07,5e+07,2e+08,98666666.6666667,50679822.8533254,47986843.8133413,149346489.519992
7,"DRP",0,0,0,0,0,0,0
8,"Total",3.2e+08,5e+08,1.84e+08,334666666.666667,91515633.1514519,243151033.515215,426182299.818119
8,"EryR",2.6e+08,2e+08,1.22e+08,1.94e+08,39949968.7108764,154050031.289124,233949968.710876
8,"P",3.55e+08,2.85e+08,1.4e+09,6.8e+08,360566683.615297,319433316.384703,1040566683.6153
8,"TetR",2e+07,1.6e+08,6e+07,8e+07,41633319.9893227,38366680.0106773,121633319.989323
8,"DRP",0,0,0,0,0,0,0
