"Time","Bacteria","data1","data2","data3","Mean","se","se_min","se_max"
0,"Total",44000,44000,49000,45666.6666666667,1666.66666666667,44000,47333.3333333333
0,"EryR",7300,12900,13500,11233.3333333333,1974.27905266145,9259.05428067189,13207.6123859948
0,"TetR",14300,21900,13700,16633.3333333333,2639.02338838526,13994.3099449481,19272.3567217186
0,"DRP",9700,11100,6500,9100,1361.37185711081,7738.62814288919,10461.3718571108
1,"Total",76000,66000,40000,60666.6666666667,10728.9846262874,49937.6820403793,71395.651292954
1,"EryR",31400,15600,25400,24133.3333333333,4604.8283838211,19528.5049495122,28738.1617171544
1,"TetR",25400,15600,21400,20800,2844.87843911358,17955.1215608864,23644.8784391136
1,"DRP",14600,16400,12600,14533.3333333333,1097.47184221029,13435.861491123,15630.8051755436
2,"Total",540000,280000,360000,393333.333333333,76883.7506311386,316449.582702195,470217.083964472
2,"EryR",227200,151200,154000,177466.666666667,24879.7999277415,152586.866738925,202346.466594408
2,"TetR",327200,137200,78000,180800,75168.4330908483,105631.566909152,255968.433090848
2,"DRP",12800,8800,6000,9200,1973.1531449265,7226.8468550735,11173.1531449265
3,"Total",2800000,1920000,3600000,2773333.33333333,485157.477297607,2288175.85603573,3258490.81063094
3,"EryR",2350000,1084000,960000,1464666.66666667,444111.597586813,1020555.06907985,1908778.26425348
3,"TetR",1350000,924000,940000,1071333.33333333,139409.867337686,931923.465995648,1210743.20067102
3,"DRP",50000,16000,20000,28666.6666666667,10728.9846262874,17937.6820403793,39395.6512929541
4,"Total",1.8e+07,2.8e+07,1.8e+07,21333333.3333333,3333333.33333333,1.8e+07,24666666.6666667
4,"EryR",13820000,9800000,6320000,9980000,2166933.3169251,7813066.6830749,12146933.3169251
4,"TetR",9220000,5600000,5120000,6646666.66666667,1294106.29822712,5352560.36843954,7940772.96489379
4,"DRP",780000,2e+05,880000,620000,211974.841274462,408025.158725538,831974.841274462
5,"Total",1.04e+08,9.2e+07,8.2e+07,92666666.6666667,6359594.67611297,86307071.9905537,99026261.3427796
5,"EryR",55800000,34800000,47400000,4.6e+07,6102458.52095694,39897541.4790431,52102458.5209569
5,"TetR",27800000,26800000,31400000,28666666.6666667,1396821.78931713,27269844.8773495,30063488.4559838
5,"DRP",14200000,13200000,4600000,10666666.6666667,3047038.63520705,7619628.03145962,13713705.3018737
6,"Total",1.08e+09,4.6e+08,3.2e+08,6.2e+08,233523731.841827,386476268.158173,853523731.841827
6,"EryR",3.96e+08,1.54e+08,1.52e+08,2.34e+08,81002057.587035,152997942.412965,315002057.587035
6,"TetR",3.16e+08,1.5e+08,1.32e+08,199333333.333333,58564304.6383868,140769028.694946,257897637.97172
