Time,Plate,Count,Dilution
0,BHIA,49,4
0,T,47,3
0,E,19,4
0,T+E,33,2
1,BHIA,11,5
1,T,6,3
1,E,10,5
1,T+E,1,2
2,BHIA,49,5
2,T,53,2
2,E,33,5
2,T+E,0,8
3,BHIA,27,6
3,T,9,4
3,E,22,6
3,T+E,12,2
4,BHIA,67,6
4,T,7,5
4,E,43,6
4,T+E,27,3
5,BHIA,52,6
5,T,16,5
5,E,39,6
5,T+E,20,3
6,BHIA,48,6
6,T,13,4
6,E,26,6
6,T+E,1,4
7,BHIA,83,6
7,T,26,4
7,E,52,6
7,T+E,0,8
8,BHIA,8,7
8,T,20,4
8,E,52,6
8,T+E,1,4
24,BHIA,10,7
24,T,54,5
24,E,73,6
24,T+E,8,5
0,BHIA,49,4
0,T,30,3
0,E,34,4
0,T+E,37,2
16,BHIA,14,7
16,T,20,5
16,E,60,6
16,T+E,22,4
17,BHIA,12,7
17,T,24,5
17,E,72,6
17,T+E,30,4
18,BHIA,12,7
18,T,29,5
18,E,72,6
18,T+E,32,4
19,BHIA,11,7
19,T,37,5
19,E,67,6
19,T+E,36,4
20,BHIA,9,7
20,T,38,5
20,E,80,6
20,T+E,36,4
21,BHIA,13,7
21,T,38,5
21,E,78,6
21,T+E,48,4
22,BHIA,16,7
22,T,41,5
22,E,74,6
22,T+E,46,4
23,BHIA,14,7
23,T,20,5
23,E,58,6
23,T+E,23,4
24,BHIA,5,7
24,T,26,5
24,E,76,6
24,T+E,15,4
