"Time","cfu","Bacteria"
0,8600000,"Total"
0,5138000,"327"
0,5138000,"201KT7"
0,5138000,"DRM"
1,3e+07,"Total"
1,25994000,"327"
1,1725891.89189189,"201KT7"
1,497225.806451613,"DRM"
2,1.22e+08,"Total"
2,51998000,"327"
2,892702.702702703,"201KT7"
2,165741.935483871,"DRM"
3,9.2e+08,"Total"
3,359960000,"327"
3,13489729.7297297,"201KT7"
3,3314838.70967742,"DRM"
4,1.1e+09,"Total"
4,619640000,"327"
4,147196756.756757,"201KT7"
4,29833548.3870968,"DRM"
5,1.1e+09,"Total"
5,639780000,"327"
5,255709729.72973,"201KT7"
5,18231612.9032258,"DRM"
6,1.32e+09,"Total"
6,6.6e+08,"327"
6,29756756.7567568,"201KT7"
6,0,"DRM"
7,2.4e+09,"Total"
7,959600000,"327"
7,37691891.8918919,"201KT7"
7,33148387.0967742,"DRM"
8,3.8e+09,"Total"
8,1.199e+09,"327"
8,49594594.5945946,"201KT7"
8,82870967.7419355,"DRM"
16,2e+09,"Total"
16,1.284e+09,"327"
16,793513513.513514,"201KT7"
16,1325935483.87097,"DRM"
17,3.6e+09,"Total"
17,1544600000,"327"
17,541572972.972973,"201KT7"
17,1276212903.22581,"DRM"
18,2.8e+09,"Total"
18,1844200000,"327"
18,735983783.783784,"201KT7"
18,1309361290.32258,"DRM"
19,2.4e+09,"Total"
19,1.604e+09,"327"
19,714162162.162162,"201KT7"
19,1325935483.87097,"DRM"
20,2.8e+09,"Total"
20,1.52e+09,"327"
20,952216216.216216,"201KT7"
20,1657419354.83871,"DRM"
21,4.4e+09,"Total"
21,1.598e+09,"327"
21,2559081081.08108,"201KT7"
21,1823161290.32258,"DRM"
22,1.4e+09,"Total"
22,1.398e+09,"327"
22,2162324324.32432,"201KT7"
22,1823161290.32258,"DRM"
23,1.8e+09,"Total"
23,1209400000,"327"
23,787562162.162162,"201KT7"
23,878432258.064516,"DRM"
24,2.5e+09,"Total"
24,1387600000,"327"
24,878816216.216216,"201KT7"
24,1027600000,"DRM"
