"Time","Bacteria","data1","data2","Mean","se"
0,"Total",9800000,8600000,9200000,489897.948556636
0,"327",5230000,5138000,5184000,37558.8427226754
0,"201KT7",5230000,5138000,5184000,37558.8427226754
0,"DRM",5230000,5138000,5184000,37558.8427226754
1,"Total",2.2e+07,3e+07,2.6e+07,3265986.3237109
1,"327",19998000,25994000,22996000,2447856.74962132
1,"201KT7",881628.571428571,1725891.89189189,1303760.23166023,344669.057280495
1,"DRM",149428.571428571,497225.806451613,323327.188940092,141987.626626215
2,"Total",9.8e+07,1.22e+08,1.1e+08,9797958.97113271
2,"327",6.6e+07,51998000,58999000,5716292.56307501
2,"201KT7",791971.428571429,892702.702702703,842337.065637066,41123.3704603394
2,"DRM",0,165741.935483871,82870.9677419355,67663.8618194622
3,"Total",5.4e+08,9.2e+08,7.3e+08,155134350.376268
3,"327",439976000,359960000,399968000,32666395.2097565
3,"201KT7",13269257.1428571,13489729.7297297,13379493.4362934,90007.5566848792
3,"DRM",1793142.85714286,3314838.70967742,2553990.78341014,621229.730403186
4,"Total",1.34e+09,1.1e+09,1.22e+09,97979589.7113271
4,"327",859460000,619640000,739550000,97906105.0190436
4,"201KT7",100565428.571429,147196756.756757,123881092.664093,19037160.0137196
4,"DRM",40345714.2857143,29833548.3870968,35089631.3364055,4291573.75718312
5,"Total",1.04e+09,1.1e+09,1.07e+09,24494897.4278318
5,"327",779600000,639780000,709690000,57081275.9726573
5,"201KT7",236097142.857143,255709729.72973,245903436.293436,8006805.06230759
5,"DRM",29885714.2857143,18231612.9032258,24058663.59447,4757766.96629346
6,"Total",9.6e+08,1.32e+09,1.14e+09,146969384.566991
6,"327",519800000,6.6e+08,589900000,57236410.3230336
6,"201KT7",17931428.5714286,29756756.7567568,23844092.6640927,4827670.01583437
6,"DRM",14942857.1428571,0,7471428.57142857,6100395.88321715
7,"Total",1.66e+09,2.4e+09,2.03e+09,302103734.943259
7,"327",1.04e+09,959600000,999800000,32823162.5532946
7,"201KT7",38851428.5714286,37691891.8918919,38271660.2316602,473378.867150993
7,"DRM",0,33148387.0967742,16574193.5483871,13532772.3638924
8,"Total",1.6e+09,3.8e+09,2.7e+09,898146239.020499
8,"327",1039800000,1.199e+09,1119400000,64993127.841847
8,"201KT7",28391428.5714286,49594594.5945946,38993011.5830116,8656156.281379
8,"DRM",14942857.1428571,82870967.7419355,48906912.4423963,27731535.026514
16,"Total",2.8e+09,2e+09,2.4e+09,326598632.37109
16,"327",1195600000,1.284e+09,1239800000,36089148.8770055
16,"201KT7",265982857.142857,793513513.513514,529748185.328185,215363488.6306
16,"DRM",328742857.142857,1325935483.87097,827339170.506912,407102185.12492
17,"Total",2.4e+09,3.6e+09,3e+09,489897948.556636
17,"327",1.434e+09,1544600000,1489300000,45152260.9253033
17,"201KT7",313800000,541572972.972973,427686486.486486,92987926.8300879
17,"DRM",448285714.285714,1276212903.22581,862249308.75576,337999859.513344
18,"Total",2.4e+09,2.8e+09,2.6e+09,163299316.185545
18,"327",1433600000,1844200000,1638900000,167626748.064462
18,"201KT7",385525714.285714,735983783.783784,560754749.034749,143073907.751853
18,"DRM",478171428.571429,1309361290.32258,893766359.447005,339331840.110803
19,"Total",2.2e+09,2.4e+09,2.3e+09,81649658.0927726
19,"327",1332800000,1.604e+09,1468400000,110716936.3738
19,"201KT7",499091428.571429,714162162.162162,606626795.366795,87802259.3172259
19,"DRM",537942857.142857,1325935483.87097,931939170.506912,321696642.75988
20,"Total",1.8e+09,2.8e+09,2.3e+09,408248290.463863
20,"327",1592800000,1.52e+09,1556400000,29720475.5457692
20,"201KT7",514034285.714286,952216216.216216,733125250.965251,178887024.039568
20,"DRM",537942857.142857,1657419354.83871,1097681105.99078,457024366.398805
21,"Total",2.6e+09,4.4e+09,3.5e+09,734846922.834954
21,"327",1550400000,1.598e+09,1574200000,19432618.6260799
21,"201KT7",496102857.142857,2559081081.08108,1527591969.11197,842207333.186956
21,"DRM",717257142.857143,1823161290.32258,1270209216.58986,451483477.619661
22,"Total",3.2e+09,1.4e+09,2.3e+09,734846922.834954
22,"327",1470800000,1.398e+09,1434400000,29720475.5457692
22,"201KT7",543920000,2162324324.32432,1353122162.16216,660710798.684729
22,"DRM",687371428.571429,1823161290.32258,1255266359.447,463684269.386095
23,"Total",2.8e+09,1.8e+09,2.3e+09,408248290.463863
23,"327",1155400000,1209400000,1182400000,22045407.6850486
23,"201KT7",264488571.428571,787562162.162162,526025366.795367,213543899.203783
23,"DRM",343685714.285714,878432258.064516,611058986.175115,218309362.329155
24,"Total",1.5e+09,2.5e+09,2e+09,408248290.463863
24,"327",1480500000,1387600000,1434050000,37926266.1840929
24,"201KT7",526735714.285714,878816216.216216,702775965.250965,143736263.018786
24,"DRM",709785714.285714,1027600000,868692857.142857,129747138.827851
