"Time","cfu","Bacteria"
0,9800000,"Total"
0,5230000,"EryR"
0,7e+05,"TetR"
0,70000,"DRP"
1,2.2e+07,"Total"
1,19998000,"EryR"
1,118000,"TetR"
1,2000,"DRP"
2,9.8e+07,"Total"
2,6.6e+07,"EryR"
2,106000,"TetR"
2,0,"DRP"
3,5.4e+08,"Total"
3,439976000,"EryR"
3,1776000,"TetR"
3,24000,"DRP"
4,1.34e+09,"Total"
4,859460000,"EryR"
4,13460000,"TetR"
4,540000,"DRP"
5,1.04e+09,"Total"
5,779600000,"EryR"
5,31600000,"TetR"
5,4e+05,"DRP"
6,9.6e+08,"Total"
6,519800000,"EryR"
6,2400000,"TetR"
6,2e+05,"DRP"
7,1.66e+09,"Total"
7,1.04e+09,"EryR"
7,5200000,"TetR"
7,0,"DRP"
8,1.6e+09,"Total"
8,1039800000,"EryR"
8,3800000,"TetR"
8,2e+05,"DRP"
16,2.8e+09,"Total"
16,1195600000,"EryR"
16,35600000,"TetR"
16,4400000,"DRP"
17,2.4e+09,"Total"
17,1.434e+09,"EryR"
17,4.2e+07,"TetR"
17,6e+06,"DRP"
18,2.4e+09,"Total"
18,1433600000,"EryR"
18,51600000,"TetR"
18,6400000,"DRP"
19,2.2e+09,"Total"
19,1332800000,"EryR"
19,66800000,"TetR"
19,7200000,"DRP"
20,1.8e+09,"Total"
20,1592800000,"EryR"
20,68800000,"TetR"
20,7200000,"DRP"
21,2.6e+09,"Total"
21,1550400000,"EryR"
21,66400000,"TetR"
21,9600000,"DRP"
22,3.2e+09,"Total"
22,1470800000,"EryR"
22,72800000,"TetR"
22,9200000,"DRP"
23,2.8e+09,"Total"
23,1155400000,"EryR"
23,35400000,"TetR"
23,4600000,"DRP"
24,1.5e+09,"Total"
24,1480500000,"EryR"
24,70500000,"TetR"
24,9500000,"DRP"
