Time,Plate,Count,Dilution
0,BHIA,31,4
0,T,24,2
0,E,24,4
0,T+E,43,1
1,BHIA,53,4
1,T,11,2
1,E,23,4
1,T+E,4,1
2,BHIA,28,5
2,T,0,8
2,E,14,5
2,T+E,0,8
3,BHIA,96,5
3,T,2,2
3,E,56,5
3,T+E,0,8
4,BHIA,46,6
4,T,0,8
4,E,24,6
4,T+E,0,8
5,BHIA,58,6
5,T,4,3
5,E,41,6
5,T+E,0,8
6,BHIA,62,6
6,T,0,8
6,E,34,6
6,T+E,0,8
7,BHIA,60,6
7,T,2,4
7,E,42,6
7,T+E,1,3
8,BHIA,49,6
8,T,0,8
8,E,32,6
8,T+E,0,8
24,BHIA,85,6
24,T,37,4
24,E,44,6
24,T+E,15,4
0,BHIA,33,4
0,T,12,2
0,E,13,4
0,T+E,13,1
16,BHIA,65,6
16,T,20,4
16,E,55,6
16,T+E,1,4
17,BHIA,54,6
17,T,14,4
17,E,44,6
17,T+E,5,4
18,BHIA,80,6
18,T,31,4
18,E,53,6
18,T+E,11,4
19,BHIA,74,6
19,T,27,4
19,E,47,6
19,T+E,2,4
20,BHIA,74,6
20,T,42,4
20,E,43,6
20,T+E,9,4
21,BHIA,81,6
21,T,39,4
21,E,50,6
21,T+E,13,4
22,BHIA,82,6
22,T,44,4
22,E,42,6
22,T+E,11,4
23,BHIA,70,6
23,T,59,4
23,E,43,6
23,T+E,33,4
24,BHIA,84,6
24,T,70,4
24,E,51,6
24,T+E,43,4
,,,
