"Time","cfu","Bacteria"
0,44000,"Total"
0,7300,"EryR"
0,14300,"TetR"
0,9700,"DRP"
1,76000,"Total"
1,31400,"EryR"
1,25400,"TetR"
1,14600,"DRP"
2,540000,"Total"
2,227200,"EryR"
2,327200,"TetR"
2,12800,"DRP"
3,2800000,"Total"
3,2350000,"EryR"
3,1350000,"TetR"
3,50000,"DRP"
4,1.8e+07,"Total"
4,13820000,"EryR"
4,9220000,"TetR"
4,780000,"DRP"
5,1.04e+08,"Total"
5,55800000,"EryR"
5,27800000,"TetR"
5,14200000,"DRP"
6,1.08e+09,"Total"
6,3.96e+08,"EryR"
6,3.16e+08,"TetR"
6,1.24e+08,"DRP"
7,1.2e+09,"Total"
7,6.6e+08,"EryR"
7,6.2e+08,"TetR"
7,2.6e+08,"DRP"
8,1.6e+09,"Total"
8,7.4e+08,"EryR"
8,7e+08,"TetR"
8,2.2e+08,"DRP"
16,1.6e+09,"Total"
16,7.2e+08,"EryR"
16,6.4e+08,"TetR"
16,3.6e+08,"DRP"
17,2e+09,"Total"
17,6.4e+08,"EryR"
17,1e+09,"TetR"
17,4e+08,"DRP"
18,2e+09,"Total"
18,4.4e+08,"EryR"
18,1.2e+09,"TetR"
18,4e+08,"DRP"
19,1.6e+09,"Total"
19,1e+09,"EryR"
19,7.2e+08,"TetR"
19,2.8e+08,"DRP"
20,1.8e+09,"Total"
20,3.6e+08,"EryR"
20,8e+08,"TetR"
20,6e+08,"DRP"
21,2.4e+09,"Total"
21,8.2e+08,"EryR"
21,7.4e+08,"TetR"
21,3e+08,"DRP"
22,2e+09,"Total"
22,6.8e+08,"EryR"
22,6.8e+08,"TetR"
22,4.4e+08,"DRP"
23,1.8e+09,"Total"
23,4.8e+08,"EryR"
23,7.6e+08,"TetR"
23,4.4e+08,"DRP"
24,1.7e+09,"Total"
24,9e+08,"EryR"
24,9.8e+08,"TetR"
24,4.2e+08,"DRP"
