"Time","Bacteria","data1","data2","data3","Mean"
0,"B",4758.7079761203,3153.33360941436,4907.84931336285,4191.63442160353
1,"B",3457.34432501127,4303.17920992148,3382.16159426077,3691.83378865986
2,"B",34592.480879358,22040.7105253302,34962.4711558985,29872.3787565261
3,"B",73053.9963983308,234227.612369566,128815.087206247,130141.637637379
4,"B",1567282.23096536,1257585.03565369,1313736.83535935,1373191.10830574
5,"B",3965417.44507413,8926738.62235098,8803371.22049469,6779696.44327437
6,"B",30436417.555667,32084501.8524699,29483438.5748788,30649424.3665416
7,"B",160876109.010338,186003090.152601,137155919.694567,160106423.631295
8,"B",443574973.549073,344647749.039134,319959164.005137,365717446.139426
9,"B",705855644.749558,764085388.248937,643280349.835777,702672068.819201
10,"B",678486960.738675,545527529.717497,597708653.21062,604805743.792909
11,"B",815280142.979463,466669269.041251,606693037.619653,613425312.545461
12,"B",606431043.785563,245860780.54135,645824506.956656,458347711.641958
13,"B",700380478.284655,566517309.376485,625156282.099727,628316703.44006
14,"B",606165064.399825,557342392.143716,340048097.444735,486128529.996349
15,"B",564281601.905192,520277409.63357,473358544.94321,517972886.540978
16,"B",626281114.366301,683069461.556792,572576615.52588,625685269.852167
0,"P",5838.06955644358,12369.1437997541,7952.36081733682,8311.92584699235
1,"P",7943.75117630109,7700.35021346373,5916.47263021582,7126.33646060608
2,"P",9483.20121618877,8347.070525154,10655.1582339824,9448.21246185365
3,"P",10705.5756402795,9555.42507198837,16241.9893895669,11844.0369259501
4,"P",36137.0613309423,33134.3890806047,41338.7654119354,36716.6543333593
5,"P",285201.652915771,504548.45072657,226390.476364714,319377.52876863
6,"P",7907778.11240619,8493006.00367853,3295755.75328537,6049093.65121053
7,"P",113069785.396853,88709010.4417694,89032394.3392247,96298780.0120253
8,"P",208468537.540274,188479492.164058,445136796.689387,259576898.841079
9,"P",471872191.425798,730779766.182179,653263515.520403,608461495.644206
10,"P",1538945402.97507,1082602326.57852,1041296793.14302,1201587955.95129
11,"P",1592241077.72577,1422790299.32279,1393260315.59986,1466878001.37312
12,"P",2474139114.88579,2522017240.32134,1571501327.18983,2140403436.10243
13,"P",2291696735.81552,2067906513.80064,1629636341.94638,1976633945.99865
14,"P",1334513873.03889,2014768079.97584,567236743.704472,1151076453.20948
15,"P",2831760960.56207,1986523920.3425,1481374973.86316,2027395434.51881
16,"P",2455945379.65462,2378596920.48857,1220682242.81283,1924778361.69167
