"Time","Bacteria","data1","data2","data3","Mean","SE"
0,"B",5000.74548475324,3924.82634925134,8970.24630613647,5965.27271338035,1534.25337068839
1,"B",4448.6760070591,4013.6266178125,5814.94084516731,4759.08115667963,542.662188996962
2,"B",32861.9769051201,45629.8432551438,23105.7144716948,33865.8448773196,6521.50053138474
3,"B",391616.983416105,219576.317056825,173359.396932525,261517.565801818,66403.8020350403
4,"B",1027453.81161473,1439863.49016284,1215608.84684662,1227642.04954139,119204.354248434
5,"B",6696327.03874832,10017335.5819496,4859602.04327366,7191088.22132385,1509320.51873608
6,"B",80029566.509316,76737892.598693,35940113.7219798,64235857.6099963,14179746.3648642
7,"B",98915457.0523891,63876042.5946539,337523635.471414,166771711.706152,85973066.9910419
8,"B",505787026.696084,812209522.484865,365890661.861756,561295737.014235,131796616.076774
0,"P",7830.69984493731,5619.28875456238,1608.13110848431,5019.37323599467,1821.17310105642
1,"P",11804.6155348596,18010.0719169183,12366.9744811778,14060.5539776519,1981.42043835278
2,"P",13122.1829855311,16450.1818471945,2495.35394952947,10689.239594085,4208.07618644785
3,"P",11173.1544113823,14092.3019369756,4650.01389180915,9971.82341338905,2791.15256999853
4,"P",20937.0533661681,7476.27052635155,11538.5338953717,13317.2859292971,3986.27385594704
5,"P",13360.1868254236,8552.33408920688,8256.66525203827,10056.3953888896,1654.09929240505
6,"P",16513.4989263429,23864.7366936625,7353.14917687401,15910.4615989598,4776.01197286342
7,"P",231665.028302595,191723.898490689,279454.963765858,234281.296853048,25359.5386355578
8,"P",435461616.365068,750253075.247184,-13184955.2402154,390843245.457345,221511855.111989
