"time","Be","Bt","Bet","Pl","Pe","Pt","ery","tet"
0,17167,16278,0,179167,0,0,0,0
0.1,20119.2958562284,18894.6991122059,0,179166.853590743,0,0,0,0
0.2,23579.3250479201,21932.0423984908,0,179166.682799902,0,0,0,0
0.3,27634.3678964073,25457.620559871,0,179166.48356437,0,0,0,0
0.4,32386.7518925785,29549.9171828868,0,179166.251141183,0,0,0,0
0.5,37956.4017793167,34300.0311956744,0,179165.979995647,0,0,0,0
0.6,44483.8476813494,39813.692561303,0,179165.663669824,0,0,0,0
0.7,52133.7885061971,46213.6276136382,0,179165.294627328,0,0,0,0
0.8,61099.2411449954,53642.2862065229,0,179172.723089157,4.2445779879429e-08,4.00738869073271e-08,0,0
0.9,71606.4068888366,62265.0097120452,0,179184.870765129,1.11036633311127e-07,1.04308086423786e-07,0,0
1,83920.3722516871,72273.7066175678,0,179199.041324294,1.91422406743711e-07,1.7886704086403e-07,0,0
1.1,98351.7936365273,83891.1211419792,4.53338757494462e-13,179215.571958952,2.85631079705473e-07,2.65410060479483e-07,0,0
1.2,115264.726258684,97375.7844887816,2.89571965510984e-12,179234.856120243,3.96039254634193e-07,3.65863067645668e-07,0,0
1.3,135085.798527648,113027.761242799,6.07642747468338e-12,179257.352910345,5.25432059716111e-07,4.8246141051006e-07,0,0
1.4,158314.959558111,131195.316433354,1.02001308802992e-11,179283.598030089,6.77073256036261e-07,6.17799488591793e-07,0,0
1.5,185538.068544786,152282.650149578,4.49821180231183e-11,179314.216757017,8.54788512986506e-07,7.74889328524304e-07,0,0
1.6,217441.648312182,176758.874333697,7.23631139284974e-11,179349.940519313,1.06307101871906e-06,9.5723551641796e-07,0,0
1.7,254830.157012434,205168.420880145,9.48047853043702e-11,179391.621810697,1.30718042208115e-06,1.16890046302829e-06,0,0
1.8,298646.226135605,238143.119472225,1.25525393207024e-10,179440.255554195,1.59328088788241e-06,1.414599541437e-06,0,0
1.9,349994.361822464,276416.205728072,1.67073963141761e-10,179497.003067882,1.92859743547909e-06,1.69980674298936e-06,0,0
2,410168.692178576,320838.562402624,2.27163648354345e-10,179563.220010073,2.32159900849735e-06,2.03087711036123e-06,0,0
2.1,480685.460128292,372397.554100069,3.09117686559706e-10,179640.488964332,2.78221277966479e-06,2.41518866906425e-06,0,0
2.2,563321.041425857,432238.851817338,4.20162747545742e-10,179730.657519841,3.32207552201658e-06,2.86130733298726e-06,0,0
2.3,660156.483561902,501691.751122862,5.71045450788242e-10,179835.882801206,3.95482864730155e-06,3.37917861328166e-06,0,0
2.4,773629.576407679,582298.484871195,7.79550918154313e-10,179958.683503504,4.69646421570559e-06,3.98035032938004e-06,0,0
2.5,906595.786655115,675848.190387316,1.49922134588659e-09,180102.000722408,5.56573089698298e-06,4.67823143418314e-06,0,0
2.6,1062399.51392196,784416.241432527,2.14855228254935e-09,180269.268940532,6.58460942475106e-06,5.4883923025077e-06,0,0
2.7,1244957.37037746,910409.765862556,2.82148549311914e-09,180464.499351777,7.77887256043228e-06,6.42891507238254e-06,0,0
2.8,1458855.53590283,1056620.32979346,3.68142979484731e-09,180692.377213127,9.1787416352831e-06,7.5208005497524e-06,0,0
2.9,1709463.42804129,1226284.84097205,4.83190578682942e-09,180958.375687592,1.08196569168692e-05,8.78844121300307e-06,0,0
3,2003066.3818402,1423155.9278815,6.378945704434e-09,181268.889132556,1.27431825445878e-05,1.02601716914934e-05,0,0
3.1,2347020.42007022,1651583.21086125,8.45267006075193e-09,181631.389396793,1.49980710722457e-05,1.196891034932e-05,0,0
3.2,2749932.6284629,1916607.05844858,1.12386246348372e-08,182054.608874559,1.76415142160836e-05,1.39529061649916e-05,0,0
3.3,3221871.18421433,2224066.63901064,1.50016541865592e-08,182548.75518071,2.07406141456049e-05,1.62566092890009e-05,0,0
3.4,3774609.62148741,2580724.28463096,2.00814546232644e-08,183125.763155802,2.437411569954e-05,1.89316867086694e-05,0,0
3.5,4421910.56269446,2994408.43104878,2.69534110131243e-08,183799.590588901,2.8634444948825e-05,2.20382068031333e-05,0,0
3.6,5179854.91305999,3474177.6898628,3.26252095574866e-08,184586.566241248,3.3630114757058e-05,2.5646024716027e-05,0,0
3.7,6067222.95403438,4030508.71833515,4.53923496732463e-08,185505.798906233,3.94885596359944e-05,2.98364006145541e-05,0,0
3.8,7105932.74269863,4675509.94492197,6.19519323658125e-08,186579.658089917,4.6359474830551e-05,3.47038892744513e-05,0,0
3.9,8321549.47726528,5423167.05279983,8.44674262071092e-08,187834.344996129,5.44187918821357e-05,4.0358570604219e-05,0,0
4,9743866.71268063,6289619.76171,1.15176264434825e-07,189300.562487481,6.3873353124827e-05,4.69286501449112e-05,0,0
4.1,11407568.4508762,7293473.2852416,1.56911028317281e-07,191014.305040786,7.49664335585635e-05,5.45635057022066e-05,0,0
4.2,13352997.3658665,8456155.11556271,2.15445838055316e-07,193017.810648577,8.79844061273249e-05,6.34373352899732e-05,0,0
4.3,15627005.3873508,9802304.44057696,2.9309173122495e-07,195360.666621407,0.000103264496575319,7.37533663344253e-05,0,0
4.4,18283929.3833644,11360212.7498587,4.03686943360021e-07,198101.149064025,0.000121204187386378,8.57489227017441e-05,0,0
